date,var,depth,site,value
2021-11-11,temp,300,600413,5.5
2021-11-11,temp,400,600409,7
2021-11-11,temp,400,600410,6.1
2021-11-11,temp,400,600411,6.1
2021-11-11,temp,400,600413,6.2
2021-11-11,temp,500,600409,7
2021-11-11,temp,500,600410,6.4
2021-11-11,temp,500,600411,6.5
2021-11-11,temp,500,600413,6.1
2021-11-11,temp,600,600409,7.1
2021-11-11,temp,600,600410,6.7
2021-11-11,temp,600,600411,6.9
2021-11-11,temp,600,600413,6.6
2021-11-12,smc,300,600409,41.2
2021-11-12,smc,300,600410,38.1
2021-11-12,smc,300,600411,33
2021-11-12,smc,300,600413,37.5
2021-11-12,smc,450,600409,39.6
2021-11-12,smc,450,600410,37.7
2021-11-12,smc,450,600411,33.8
2021-11-12,smc,450,600413,39
2021-11-12,smc,600,600409,41.5
2021-11-12,smc,600,600410,35.7
2021-11-12,smc,600,600411,41.2
2021-11-12,smc,600,600413,32.9
2021-11-12,smc,750,600409,40
2021-11-12,smc,750,600410,34.4
2021-11-12,smc,750,600411,45.7
2021-11-12,smc,750,600413,29.7
2021-11-12,smc,900,600409,39.7
2021-11-12,smc,900,600410,40.4
2021-11-12,smc,900,600411,42.2
2021-11-12,smc,900,600413,35.2
2021-11-12,temp,035,600409,-0.7
2021-11-12,temp,035,600410,1.7
2021-11-12,temp,035,600411,1.3
2021-11-12,temp,035,600413,1.1
2021-11-12,temp,100,600409,3.5
2021-11-12,temp,100,600410,2.9
2021-11-12,temp,100,600411,2.5
2021-11-12,temp,100,600413,2.1
2021-11-12,temp,200,600409,5.3
2021-11-12,temp,200,600410,4.4
2021-11-12,temp,200,600411,3.7
2021-11-12,temp,200,600413,3.4
2021-11-12,temp,300,600409,5.8
2021-11-12,temp,300,600410,5
2021-11-12,temp,300,600411,4.7
2021-11-12,temp,300,600413,4.6
2021-11-12,temp,400,600409,6.5
2021-11-12,temp,400,600410,5.4
2021-11-12,temp,400,600411,5.6
2021-11-12,temp,400,600413,5.6
2021-11-12,temp,500,600409,6.6
2021-11-12,temp,500,600410,5.9
2021-11-12,temp,500,600411,6.2
2021-11-12,temp,500,600413,5.7
2021-11-12,temp,600,600409,7
2021-11-12,temp,600,600410,6.4
2021-11-12,temp,600,600411,6.6
2021-11-12,temp,600,600413,6.4
2021-11-13,smc,300,600409,41.3
2021-11-13,smc,300,600410,38.3
2021-11-13,smc,300,600411,33.6
2021-11-13,smc,300,600413,37.9
2021-11-13,smc,450,600409,39.7
2021-11-13,smc,450,600410,37.7
2021-11-13,smc,450,600411,34.8
2021-11-13,smc,450,600413,39
2021-11-13,smc,600,600409,41.5
2021-11-13,smc,600,600410,35.7
2021-11-13,smc,600,600411,46.1
2021-11-13,smc,600,600413,32.9
2021-11-13,smc,750,600409,40
2021-11-13,smc,750,600410,34.5
2021-11-13,smc,750,600411,45.7
2021-11-13,smc,750,600413,30
2021-11-13,smc,900,600409,39.7
2021-11-13,smc,900,600410,40.5
2021-11-13,smc,900,600411,42.4
2021-11-13,smc,900,600413,35.5
2021-11-13,temp,035,600409,1.6
2021-11-13,temp,035,600410,2.8
2021-11-13,temp,035,600411,2.7
2021-11-13,temp,035,600413,2.5
2021-11-13,temp,100,600409,4
2021-11-13,temp,100,600410,3.4
2021-11-13,temp,100,600411,3.3
2021-11-13,temp,100,600413,2.9
2021-11-13,temp,200,600409,5.1
2021-11-13,temp,200,600410,4.4
2021-11-13,temp,200,600411,3.8
2021-11-13,temp,200,600413,3.4
2021-11-13,temp,300,600409,5.5
2021-11-13,temp,300,600410,4.6
2021-11-13,temp,300,600411,4.3
2021-11-13,temp,300,600413,4.2
2021-11-13,temp,400,600409,6.2
2021-11-13,temp,400,600410,5
2021-11-13,temp,400,600411,5
2021-11-13,temp,400,600413,5
2021-11-13,temp,500,600409,6.4
2021-11-13,temp,500,600410,5.5
2021-11-13,temp,500,600411,5.7
2021-11-13,temp,500,600413,5.2
2021-11-13,temp,600,600409,6.7
2021-11-13,temp,600,600410,6
2021-11-13,temp,600,600411,6.3
2021-11-13,temp,600,600413,6
2021-11-14,smc,300,600409,41.3
2021-11-14,smc,300,600410,38.2
2021-11-14,smc,300,600411,32.4
2021-11-14,smc,300,600413,37.4
2021-11-14,smc,450,600409,39.7
2021-11-14,smc,450,600410,37.9
2021-11-14,smc,450,600411,34
2021-11-14,smc,450,600413,39
2021-11-14,smc,600,600409,41.7
2021-11-14,smc,600,600410,35.8
2021-11-14,smc,600,600411,42.8
2021-11-14,smc,600,600413,33
2021-11-14,smc,750,600409,40
2021-11-14,smc,750,600410,34.5
2021-11-14,smc,750,600411,45.7
2021-11-14,smc,750,600413,30.2
2021-11-14,smc,900,600409,39.8
2021-11-14,smc,900,600410,40.5
2021-11-14,smc,900,600411,42.5
2021-11-14,smc,900,600413,35.7
2021-11-14,temp,035,600409,0.5
2021-11-14,temp,035,600410,1.8
2021-11-14,temp,035,600411,1.8
2021-11-14,temp,035,600413,1.4
2021-11-14,temp,100,600409,3.6
2021-11-14,temp,100,600410,2.7
2021-11-14,temp,100,600411,2.6
2021-11-14,temp,100,600413,2.1
2021-11-14,temp,200,600409,5
2021-11-14,temp,200,600410,3.9
2021-11-14,temp,200,600411,3.4
2021-11-14,temp,200,600413,2.9
2021-11-14,temp,300,600409,5.3
2021-11-14,temp,300,600410,4.3
2021-11-14,temp,300,600411,4.1
2021-11-14,temp,300,600413,3.9
2021-11-14,temp,400,600409,6
2021-11-14,temp,400,600410,4.7
2021-11-14,temp,400,600411,4.9
2021-11-14,temp,400,600413,4.9
2021-11-14,temp,500,600409,6.1
2021-11-14,temp,500,600410,5.2
2021-11-14,temp,500,600411,5.5
2021-11-14,temp,500,600413,5
2021-11-14,temp,600,600409,6.5
2021-11-14,temp,600,600410,5.7
2021-11-14,temp,600,600411,6
2021-11-14,temp,600,600413,5.8
2021-11-15,smc,300,600409,41.4
2021-11-15,smc,300,600410,38.4
2021-11-15,smc,300,600411,32.5
2021-11-15,smc,300,600413,37.5
2021-11-15,smc,450,600409,39.8
2021-11-15,smc,450,600410,38
2021-11-15,smc,450,600411,34
2021-11-15,smc,450,600413,39
2021-11-15,smc,600,600409,41.7
2021-11-15,smc,600,600410,36
2021-11-15,smc,600,600411,42.2
2021-11-15,smc,600,600413,33
2021-11-15,smc,750,600409,40.1
2021-11-15,smc,750,600410,34.7
2021-11-15,smc,750,600411,45.7
2021-11-15,smc,750,600413,30.2
2021-11-15,smc,900,600409,39.9
2021-11-15,smc,900,600410,40.5
2021-11-15,smc,900,600411,42.5
2021-11-15,smc,900,600413,36
2021-11-15,temp,035,600409,4.3
2021-11-15,temp,035,600410,3.6
2021-11-15,temp,035,600411,3.5
2021-11-15,temp,035,600413,3.6
2021-11-15,temp,100,600409,4.7
2021-11-15,temp,100,600410,3.6
2021-11-15,temp,100,600411,3.5
2021-11-15,temp,100,600413,3.2
2021-11-15,temp,200,600409,5.1
2021-11-15,temp,200,600410,4.2
2021-11-15,temp,200,600411,3.6
2021-11-15,temp,200,600413,3.3
2021-11-15,temp,300,600409,5.2
2021-11-15,temp,300,600410,4.3
2021-11-15,temp,300,600411,4.1
2021-11-15,temp,300,600413,3.8
2021-11-15,temp,400,600409,6
2021-11-15,temp,400,600410,4.5
2021-11-15,temp,400,600411,4.6
2021-11-15,temp,400,600413,4.6
2021-11-15,temp,500,600409,6
2021-11-15,temp,500,600410,5
2021-11-15,temp,500,600411,5.3
2021-11-15,temp,500,600413,4.7
2021-11-15,temp,600,600409,6.4
2021-11-15,temp,600,600410,5.5
2021-11-15,temp,600,600411,5.8
2021-11-15,temp,600,600413,5.5
2021-11-16,smc,300,600409,41.5
2021-11-16,smc,300,600410,38.6
2021-11-16,smc,300,600411,32.9
2021-11-16,smc,300,600413,37.7
2021-11-16,smc,450,600409,39.9
2021-11-16,smc,450,600410,38
2021-11-16,smc,450,600411,34.2
2021-11-16,smc,450,600413,39.2
2021-11-16,smc,600,600409,41.7
2021-11-16,smc,600,600410,36
2021-11-16,smc,600,600411,42.5
2021-11-16,smc,600,600413,33.1
2021-11-16,smc,750,600409,40.2
2021-11-16,smc,750,600410,34.7
2021-11-16,smc,750,600411,45.7
2021-11-16,smc,750,600413,30.3
2021-11-16,smc,900,600409,40
2021-11-16,smc,900,600410,40.7
2021-11-16,smc,900,600411,42.5
2021-11-16,smc,900,600413,36
2021-11-16,temp,035,600409,6.9
2021-11-16,temp,035,600410,5.8
2021-11-16,temp,035,600411,5.9
2021-11-16,temp,035,600413,6.5
2021-11-16,temp,100,600409,6.2
2021-11-16,temp,100,600410,5.4
2021-11-16,temp,100,600411,5.4
2021-11-16,temp,100,600413,5.7
2021-11-16,temp,200,600409,5.8
2021-11-16,temp,200,600410,5.5
